name;id;calories;proteins;fat;carbohydrate;serat;kalsium;fosfor;zat_besi;natrium;kalium;tembaga;seng;vitamin_a;provitamin_a;total_karotenoid;vitamin_b1;vitamin_b2;vitamin_b3;vitamin_c;bdd;url_image;indeks_glikemik;referensi_ig;status_pencocokan_ig;klasifikasi_ig
Sop kaki sapi masakan;1146;68;9;1.9;3.7;0;302;15;2.2;225;0;0;0;0;0;150;0.46;0;0;0;100;https://www.ruparupa.com/blog/wp-content/uploads/2021/06/Screen-Shot-2021-06-21-at-14.11.27.png;31;Atkinson et al. (2008);token(sapi)→susu sapi;Rendah
Sop kambing masakan;1147;34;5.5;0.8;1.1;0;145;37;1.6;225;0;0;0;0;0;80;0.555;0;0;0;100;https://asset.kompas.com/crops/4BopB2so0iCh5Dj_6QkB41md3B0=/3x0:700x465/750x500/data/photo/2021/01/15/6000de7b45e69.jpg;0;Atkinson et al. (2008) – tidak mengandung karbohidrat;token(kambing)→daging kambing;Tidak signifikan (non-karbohidrat)
Sop konro masakan;1148;71;7.4;2.6;4.5;0;17;60;4.6;184;25;0.3;1.3;0;0;0;0.12;0.02;0;0;100;https://asset.kompas.com/crops/t9vL2Z6ZAjt7cnpl05cuYOfd2k4=/129x72:651x420/750x500/data/photo/2020/07/30/5f22636a0e7e0.jpg;55;Tidak ditemukan dalam literatur – perlu pengisian manual;not_found;Sedang
Sop Kool;1149;12;0.5;0.1;2;1.1;62;80;2;10;68;0.1;0.2;0;0;0;0.1;0.02;0.1;0;100;https://gallery-jateng.poskota.co.id/storage/Foto/2020/1608103380_1-org.png;55;Tidak ditemukan dalam literatur – perlu pengisian manual;not_found;Sedang
Sop Kool dan Wortel;1150;15;0.6;0.1;3.1;1.45;47;64.5;1.15;30;118.65;0.1;0.3;0;23;0;0.1;0.065;0.1;5;100;https://img-global.cpcdn.com/recipes/8adcb73d8f012620/680x482cq70/sop-kol-simple-foto-resep-utama.jpg;35;Atkinson et al. (2008);partial→wortel;Rendah
Sop saudara masakan;1151;89;7.2;5;3.9;0;10;174;8.2;225;50;0.2;1.1;0;0;0;0.09;0.12;2;0;100;https://resepkoki.id/wp-content/uploads/2018/03/Resep-Sop-Sodara.jpg;55;Tidak ditemukan dalam literatur – perlu pengisian manual;not_found;Sedang
Soto bandung masakan;1152;42;3.9;1.7;2.8;0.4;74;75;1.8;0;0;0;0;0;20;0;0;0;0;0;100;https://asset.kompas.com/crops/aq7SWhGNCO6UTombdviZuAchnCM=/3x0:700x465/750x500/data/photo/2021/04/21/607ff824cb839.jpg;55;Tidak ditemukan dalam literatur – perlu pengisian manual;not_found;Sedang
Soto banjar masakan;1153;110;2.9;9.5;3.2;0;28;28;0.3;36;6;0;0.2;0;0;278.75;0.05;0;0;0;100;https://www.masakapahariini.com/wp-content/uploads/2019/06/5.jpg;55;Tidak ditemukan dalam literatur – perlu pengisian manual;not_found;Sedang
Soto betawi masakan;1154;135;2.5;8.8;11.5;0.5;222;72;1.9;0;0;0;0;0;0;278.75;0.04;0;0;0;100;https://www.unileverfoodsolutions.co.id/dam/global-ufs/mcos/SEA/calcmenu/recipes/ID-recipes/soups/soto-betawi/main-header.jpg;55;Tidak ditemukan dalam literatur – perlu pengisian manual;not_found;Sedang
Soto dengan Daging;1155;127.5;2.6;9.4;8.3;0;62;196.5;4;108;191.5;0.105;1.05;0;0;0;0.135;0.055;0.45;0;100;https://img.kurio.network/mjtADdO0Q-nnAohGaTqVBvp8rMc=/1200x1200/filters:quality(80)/https://kurio-img.kurioapps.com/21/03/01/0bfa7a3d-28f6-440f-907b-def23ccb96d9.jpe;0;Atkinson et al. (2008) – tidak mengandung karbohidrat;token(daging)→daging sapi;Tidak signifikan (non-karbohidrat)
Soto jeroan masakan;1156;92;11.8;4.3;1.4;0;218;48;1.9;225;0;0;0;0;0;278.75;0.36;0;0;0;100;https://awsimages.detik.net.id/community/media/visual/2022/03/15/resep-soto-jeroan-sapi_43.jpeg?w=1200;55;Tidak ditemukan dalam literatur – perlu pengisian manual;not_found;Sedang
Soto kudus masakan;1157;38;2.6;2.3;1.8;0.2;237;67;1.7;0;0;0;0;0;0;128;0.06;0;0.5;0;100;https://www.masakapahariini.com/wp-content/uploads/2020/02/soto-kudus-7.jpg;55;Tidak ditemukan dalam literatur – perlu pengisian manual;not_found;Sedang
Soto madura masakan;1158;60;3.5;4.5;1.3;0;337.5;126;3.8;0;0;0;0;0;0;121;0.06;0;0;0;100;https://cdn.yummy.co.id/content-images/images/20210311/FyZCyT9dfZQGp9zNZhL2iuoQn9pA7hpK-31363135343538363836d41d8cd98f00b204e9800998ecf8427e.jpg?x-oss-process=image/format,webp;61;Atkinson et al. (2008);partial→madu;Sedang
Soto padang masakan;1159;127;5.9;6.6;11;0.7;298;94;1.5;0;0;0;0;0;0;204;0.22;0;0;0;100;https://topwisata.info/wp-content/uploads/2020/11/resep2Bsoto2Bpadang2B252812529.jpg;55;Tidak ditemukan dalam literatur – perlu pengisian manual;not_found;Sedang
Soto pekalongan masakan;1160;94;3;6.8;5.1;0.3;322;79;2;0;0;0;0;0;0;119;0.29;0;0;0;100;https://www.topwisata.info/wp-content/uploads/2021/12/Soto-Tauto-Pekalongan-1.jpg;55;Tidak ditemukan dalam literatur – perlu pengisian manual;not_found;Sedang
Soto pemalang masakan;1161;75;3.6;5.2;3.5;0;170;80;2.1;0;0;0;0;0;0;30;0.13;0;0;0;100;https://i0.wp.com/bogor-today.com/wp-content/uploads/2022/09/87456.jpg;55;Tidak ditemukan dalam literatur – perlu pengisian manual;not_found;Sedang
Soto sukaraja masakan;1162;80;3.2;3.5;9;0.3;337.5;77;2.3;0;0;0;0;0;0;89;0.04;0;0;0;100;https://www.piknikdong.com/wp-content/uploads/2021/04/Resep-Soto-Sokaraja.jpg;55;Tidak ditemukan dalam literatur – perlu pengisian manual;not_found;Sedang
Soto sulung masakan;1163;86;2.3;8.5;0;0;200;120;2.9;0;0;0;0;0;0;105;0.08;0;0;0;100;https://www.primarasa.co.id/images/images/Soto%20sulung%20artikel%281%29.jpg;55;Tidak ditemukan dalam literatur – perlu pengisian manual;not_found;Sedang
Soto tanpa Daging ;1164;117.1;0.4;8.6;9.6;0;62;196.5;4;108;191.5;0.105;1.05;0;0;0;0.135;0.055;0.45;0;100;https://resepkoki.id/wp-content/uploads/2019/11/Soto-Ayam-Bening.jpg;0;Atkinson et al. (2008) – tidak mengandung karbohidrat;token(daging)→daging sapi;Tidak signifikan (non-karbohidrat)
